Line,Filter,County,Jurisdiction,2010 Population Census ,2011 Population Estimate ,2012 Population Estimate ,2013 Population Estimate ,2014 Population Estimate ,2015 Population Estimate ,2016 Population Estimate ,2017 Population Estimate ,2018 Population Estimate 
2,2,Adams,Unincorporated Adams County,8818,8960,8980,9040,9135,9085,9105,9165,9220
4,4,Adams,Hatton,101,100,105,110,110,110,110,110,110
5,4,Adams,Lind,564,560,565,570,565,560,550,550,550
6,4,Adams,Othello,7364,7420,7495,7565,7695,7780,7875,8175,8270
7,4,Adams,Ritzville,1673,1705,1695,1700,1680,1670,1660,1660,1660
8,4,Adams,Washtucna,208,205,210,215,215,205,210,210,210
11,2,Asotin,Unincorporated Asotin County,13143,13195,13240,13325,13460,13515,13620,13765,13940
13,4,Asotin,Asotin,1251,1255,1255,1265,1265,1260,1270,1275,1275
14,4,Asotin,Clarkston,7229,7200,7205,7210,7225,7235,7260,7250,7205
17,2,Benton,Unincorporated Benton County,32639,33020,33300,33710,34020,34130,34365,35085,35400
19,4,Benton,Benton City,3038,3145,3295,3240,3255,3285,3325,3360,3405
20,4,Benton,Kennewick,73917,74665,75160,76410,77700,78290,79120,80280,81850
21,4,Benton,Prosser,5714,5780,5785,5810,5815,5845,5940,5965,6125
22,4,Benton,Richland,48058,49090,49890,51150,52090,53080,53410,54150,55320
23,4,Benton,West Richland,11811,12200,12570,13080,13620,13960,14340,14660,15320
26,2,Chelan,Unincorporated Chelan County,30498,30500,30680,30960,31090,31580,32075,32325,32730
28,4,Chelan,Cashmere,3063,3075,3075,3055,3010,3040,3040,3075,3095
29,4,Chelan,Chelan,3890,3930,3940,3955,4020,4045,4115,4150,4210
30,4,Chelan,Entiat,1112,1135,1135,1140,1140,1155,1180,1195,1205
31,4,Chelan,Leavenworth,1965,1970,1970,1970,1970,1980,1990,2015,2030
32,4,Chelan,Wenatchee,31925,32090,32400,32520,33070,33230,33510,34070,34530
35,2,Clallam,Unincorporated Clallam County,42228,42395,42560,42830,42935,43030,43485,43995,44685
37,4,Clallam,Forks,3532,3500,3545,3545,3565,3565,3580,3595,3615
38,4,Clallam,Port Angeles,19038,19080,19100,19120,19090,19140,19270,19370,19370
39,4,Clallam,Sequim,6606,6625,6795,6855,6910,6915,7075,7280,7460
42,2,Clark,Unincorporated Clark County,203339,204610,205885,207710,210140,214585,218750,223160,222420
44,4,Clark,Battle Ground,17571,17780,17920,18130,18680,19250,19640,20370,20890
45,4,Clark,Camas,19355,19620,20020,20320,20880,21210,21810,23080,23770
46,4,Clark,La Center,2800,2835,2985,3015,3050,3100,3140,3195,3320
47,4,Clark,Ridgefield,4763,4975,5210,5545,6035,6400,6870,7235,7705
48,4,Clark,Vancouver,161791,162300,163200,164500,167400,170400,173500,176400,183500
49,4,Clark,Washougal,14095,14210,14340,14580,14910,15170,15560,15760,16020
50,4,Clark,Woodland (part),83,85,85,85,85,85,85,85,95
51,4,Clark,Yacolt,1566,1585,1605,1615,1620,1620,1655,1715,1780
54,2,Columbia,Unincorporated Columbia County,1423,1435,1435,1425,1405,1410,1375,1415,1460
56,4,Columbia,Dayton,2526,2535,2535,2545,2545,2550,2545,2555,2560
57,4,Columbia,Starbuck,129,130,130,130,130,130,130,130,130
60,2,Cowlitz,Unincorporated Cowlitz County,44085,44225,44180,44345,44515,44765,45080,45640,46460
62,4,Cowlitz,Castle Rock,1982,1995,2135,2135,2145,2175,2190,2200,2200
63,4,Cowlitz,Kalama,2344,2365,2390,2400,2430,2500,2540,2620,2750
64,4,Cowlitz,Kelso,11925,11920,11930,11940,11960,11950,11970,11980,12080
65,4,Cowlitz,Longview,36648,36730,36910,36940,37040,37130,37230,37510,37710
66,4,Cowlitz,Woodland (part),5426,5465,5505,5540,5610,5760,5840,5950,6110
69,2,Douglas,Unincorporated Douglas County,20399,20590,20760,21060,21430,21610,22095,22645,23240
71,4,Douglas,Bridgeport,2409,2405,2415,2425,2445,2455,2480,2480,2480
72,4,Douglas,Coulee Dam (part),187,185,185,185,185,185,185,185,185
73,4,Douglas,East Wenatchee,13190,13220,13280,13350,13370,13390,13500,13600,13670
74,4,Douglas,Mansfield,320,320,325,325,325,325,330,330,330
75,4,Douglas,Rock Island,788,790,790,790,790,865,965,1005,1040
76,4,Douglas,Waterville,1138,1140,1145,1145,1155,1160,1165,1175,1175
79,2,Ferry,Unincorporated Ferry County,6478,6520,6565,6555,6560,6620,6610,6645,6680
81,4,Ferry,Republic,1073,1080,1085,1095,1100,1090,1090,1095,1100
84,2,Franklin,Unincorporated Franklin County,13491,13665,13820,13160,12820,12825,12065,12540,12830
86,4,Franklin,Connell,4209,5150,5320,5350,5330,5405,5365,5450,5460
87,4,Franklin,Kahlotus,193,190,195,195,185,185,185,165,165
88,4,Franklin,Mesa,489,495,495,495,495,495,495,495,495
89,4,Franklin,Pasco,59781,61000,62670,65600,67770,68240,70560,71680,73590
92,2,Garfield,Unincorporated Garfield County,841,835,840,850,845,855,805,805,815
